entry
"The player ""Rusk 👻 @ LbvFYj-_6E"" sit back with the stack of 140.50."
-- ending hand #220 --
"""Coia @ JDqtu4x_0y"" collected 2.00 from pot"
"Uncalled bet of 2.00 returned to ""Coia @ JDqtu4x_0y"""
"""Frink @ k9Gbwr77s4"" folds"
"The admin ""Frink @ k9Gbwr77s4"" enqueued the game stop on next hand."
"""Coia @ JDqtu4x_0y"" raises to 3.00"
"""Jon Shemz @ dhnG80pfY1"" folds"
"""Frink @ k9Gbwr77s4"" posts a big blind of 1.00"
"""Coia @ JDqtu4x_0y"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (464.76) | #4 ""Jon Shemz @ dhnG80pfY1"" (294.75) | #10 ""Coia @ JDqtu4x_0y"" (472.94)"
"-- starting hand #220  (No Limit Texas Hold'em) (dealer: ""Jon Shemz @ dhnG80pfY1"") --"
-- ending hand #219 --
"""Coia @ JDqtu4x_0y"" collected 21.00 from pot"
"Uncalled bet of 7.00 returned to ""Coia @ JDqtu4x_0y"""
"""Jon Shemz @ dhnG80pfY1"" folds"
"""Coia @ JDqtu4x_0y"" bets 7.00"
"""Jon Shemz @ dhnG80pfY1"" checks"
"River: J♠, Q♣, J♥, 5♠ [9♠]"
"""Jon Shemz @ dhnG80pfY1"" calls 4.00"
"""Coia @ JDqtu4x_0y"" bets 4.00"
"""Jon Shemz @ dhnG80pfY1"" checks"
"Turn: J♠, Q♣, J♥ [5♠]"
"""Coia @ JDqtu4x_0y"" calls 2.50"
"""Jon Shemz @ dhnG80pfY1"" bets 2.50"
"Flop:  [J♠, Q♣, J♥]"
"""Coia @ JDqtu4x_0y"" calls 4.00"
"""Jon Shemz @ dhnG80pfY1"" raises to 4.00"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" posts a big blind of 1.00"
"""Jon Shemz @ dhnG80pfY1"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (464.76) | #4 ""Jon Shemz @ dhnG80pfY1"" (305.25) | #10 ""Coia @ JDqtu4x_0y"" (462.44)"
-- starting hand #219  (No Limit Texas Hold'em) (dead button) --
-- ending hand #218 --
"""Jon Shemz @ dhnG80pfY1"" collected 6.00 from pot with Two Pair, 6's & 4's (combination: 6♦, 6♣, 4♦, 4♠, A♥)"
"""Jon Shemz @ dhnG80pfY1"" shows a 3♥, 6♦."
"""Coia @ JDqtu4x_0y"" checks"
"""Jon Shemz @ dhnG80pfY1"" checks"
"River: 4♦, A♥, 6♣, 4♠ [8♥]"
"""Coia @ JDqtu4x_0y"" checks"
"""Jon Shemz @ dhnG80pfY1"" checks"
"Turn: 4♦, A♥, 6♣ [4♠]"
"""Coia @ JDqtu4x_0y"" checks"
"""Jon Shemz @ dhnG80pfY1"" checks"
"Flop:  [4♦, A♥, 6♣]"
"""Jon Shemz @ dhnG80pfY1"" calls 3.00"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" raises to 3.00"
"""Jon Shemz @ dhnG80pfY1"" posts a big blind of 1.00"
Dead Small Blind
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (464.76) | #4 ""Jon Shemz @ dhnG80pfY1"" (302.25) | #10 ""Coia @ JDqtu4x_0y"" (465.44)"
"-- starting hand #218  (No Limit Texas Hold'em) (dealer: ""Frink @ k9Gbwr77s4"") --"
"The player ""Rusk 👻 @ LbvFYj-_6E"" stand up with the stack of 140.50."
-- ending hand #217 --
"""Coia @ JDqtu4x_0y"" collected 17.00 from pot"
"Uncalled bet of 7.00 returned to ""Coia @ JDqtu4x_0y"""
"""Jon Shemz @ dhnG80pfY1"" folds"
"""Coia @ JDqtu4x_0y"" bets 7.00"
"""Jon Shemz @ dhnG80pfY1"" checks"
"Turn: 7♥, 2♥, K♠ [K♣]"
"""Coia @ JDqtu4x_0y"" calls 4.75"
"""Jon Shemz @ dhnG80pfY1"" bets 4.75"
"Flop:  [7♥, 2♥, K♠]"
"""Rusk 👻 @ LbvFYj-_6E"" folds"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" calls 3.00"
"""Jon Shemz @ dhnG80pfY1"" raises to 3.00"
"""Rusk 👻 @ LbvFYj-_6E"" posts a big blind of 1.00"
"""Frink @ k9Gbwr77s4"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (465.26) | #3 ""Rusk 👻 @ LbvFYj-_6E"" (141.50) | #4 ""Jon Shemz @ dhnG80pfY1"" (310.00) | #10 ""Coia @ JDqtu4x_0y"" (456.19)"
"-- starting hand #217  (No Limit Texas Hold'em) (dealer: ""Coia @ JDqtu4x_0y"") --"
-- ending hand #216 --
"""Coia @ JDqtu4x_0y"" shows a 5♠, 3♥."
"""Jon Shemz @ dhnG80pfY1"" collected 24.00 from pot with Pair, 9's (combination: 9♥, 9♦, A♣, Q♥, 10♠)"
"""Jon Shemz @ dhnG80pfY1"" shows a 9♥, 9♦."
"""Jon Shemz @ dhnG80pfY1"" checks"
"""Coia @ JDqtu4x_0y"" checks"
"River: 5♣, 10♠, Q♥, A♣ [4♣]"
"""Jon Shemz @ dhnG80pfY1"" checks"
"""Coia @ JDqtu4x_0y"" checks"
"Turn: 5♣, 10♠, Q♥ [A♣]"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" calls 6.00"
"""Jon Shemz @ dhnG80pfY1"" bets 6.00"
"""Frink @ k9Gbwr77s4"" checks"
"""Coia @ JDqtu4x_0y"" checks"
"Flop:  [5♣, 10♠, Q♥]"
"""Frink @ k9Gbwr77s4"" calls 4.00"
"""Coia @ JDqtu4x_0y"" calls 4.00"
"""Jon Shemz @ dhnG80pfY1"" raises to 4.00"
"""Rusk 👻 @ LbvFYj-_6E"" folds"
"""Frink @ k9Gbwr77s4"" posts a big blind of 1.00"
"""Coia @ JDqtu4x_0y"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (469.26) | #3 ""Rusk 👻 @ LbvFYj-_6E"" (141.50) | #4 ""Jon Shemz @ dhnG80pfY1"" (296.00) | #10 ""Coia @ JDqtu4x_0y"" (466.19)"
"-- starting hand #216  (No Limit Texas Hold'em) (dealer: ""Jon Shemz @ dhnG80pfY1"") --"
-- ending hand #215 --
"""Coia @ JDqtu4x_0y"" collected 1.00 from pot"
"Uncalled bet of 0.50 returned to ""Coia @ JDqtu4x_0y"""
"""Jon Shemz @ dhnG80pfY1"" folds"
"""Rusk 👻 @ LbvFYj-_6E"" folds"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" posts a big blind of 1.00"
"""Jon Shemz @ dhnG80pfY1"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (469.26) | #3 ""Rusk 👻 @ LbvFYj-_6E"" (141.50) | #4 ""Jon Shemz @ dhnG80pfY1"" (296.50) | #10 ""Coia @ JDqtu4x_0y"" (465.69)"
"-- starting hand #215  (No Limit Texas Hold'em) (dealer: ""Rusk 👻 @ LbvFYj-_6E"") --"
-- ending hand #214 --
"""Jon Shemz @ dhnG80pfY1"" collected 1.00 from pot"
"Uncalled bet of 0.50 returned to ""Jon Shemz @ dhnG80pfY1"""
"""Rusk 👻 @ LbvFYj-_6E"" folds"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" folds"
"""Jon Shemz @ dhnG80pfY1"" posts a big blind of 1.00"
"""Rusk 👻 @ LbvFYj-_6E"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (469.26) | #3 ""Rusk 👻 @ LbvFYj-_6E"" (142.00) | #4 ""Jon Shemz @ dhnG80pfY1"" (296.00) | #10 ""Coia @ JDqtu4x_0y"" (465.69)"
"-- starting hand #214  (No Limit Texas Hold'em) (dealer: ""Frink @ k9Gbwr77s4"") --"
-- ending hand #213 --
"""Jon Shemz @ dhnG80pfY1"" collected 9.50 from pot"
"Uncalled bet of 3.75 returned to ""Jon Shemz @ dhnG80pfY1"""
"""Coia @ JDqtu4x_0y"" folds"
"""Jon Shemz @ dhnG80pfY1"" bets 3.75"
"Flop:  [5♣, 2♦, K♥]"
"""Rusk 👻 @ LbvFYj-_6E"" folds"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" calls 4.00"
"""Jon Shemz @ dhnG80pfY1"" raises to 4.00"
"""Rusk 👻 @ LbvFYj-_6E"" posts a big blind of 1.00"
"""Frink @ k9Gbwr77s4"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (469.76) | #3 ""Rusk 👻 @ LbvFYj-_6E"" (143.00) | #4 ""Jon Shemz @ dhnG80pfY1"" (290.50) | #10 ""Coia @ JDqtu4x_0y"" (469.69)"
"-- starting hand #213  (No Limit Texas Hold'em) (dealer: ""Coia @ JDqtu4x_0y"") --"
-- ending hand #212 --
"""Coia @ JDqtu4x_0y"" collected 7.00 from pot"
"Uncalled bet of 3.50 returned to ""Coia @ JDqtu4x_0y"""
"""Jon Shemz @ dhnG80pfY1"" folds"
"""Coia @ JDqtu4x_0y"" bets 3.50"
"Turn: 3♣, 9♥, 7♠ [Q♣]"
"""Jon Shemz @ dhnG80pfY1"" checks"
"""Coia @ JDqtu4x_0y"" checks"
"Flop:  [3♣, 9♥, 7♠]"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" calls 3.00"
"""Jon Shemz @ dhnG80pfY1"" raises to 3.00"
"""Rusk 👻 @ LbvFYj-_6E"" folds"
"""Frink @ k9Gbwr77s4"" posts a big blind of 1.00"
"""Coia @ JDqtu4x_0y"" posts a small blind of 0.50"
"Player stacks: #2 ""Frink @ k9Gbwr77s4"" (470.76) | #3 ""Rusk 👻 @ LbvFYj-_6E"" (143.00) | #4 ""Jon Shemz @ dhnG80pfY1"" (293.50) | #10 ""Coia @ JDqtu4x_0y"" (465.69)"
"-- starting hand #212  (No Limit Texas Hold'em) (dealer: ""Jon Shemz @ dhnG80pfY1"") --"
-- ending hand #211 --
"""Coia @ JDqtu4x_0y"" collected 9.00 from pot"
"Uncalled bet of 6.75 returned to ""Coia @ JDqtu4x_0y"""
"""Jon Shemz @ dhnG80pfY1"" folds"
"""Frink @ k9Gbwr77s4"" folds"
"""Coia @ JDqtu4x_0y"" bets 6.75"
"""Jon Shemz @ dhnG80pfY1"" checks"
"Turn: J♣, J♠, 2♦ [5♦]"
"""Frink @ k9Gbwr77s4"" checks"
"""Coia @ JDqtu4x_0y"" checks"
"""Jon Shemz @ dhnG80pfY1"" checks"
"Flop:  [J♣, J♠, 2♦]"
"""Coia @ JDqtu4x_0y"" calls 3.00"
